# CathayViewer 人名别名表（正名,别名…；可手动编辑，逗号/顿号/分号均可分隔）
(他塔喇)瑭玠,鎮南
(他塔喇)秀寧,松坪,楚翹,琪原
(他塔喇)英德,厚菴
(伊爾根覺羅)文發,依爾根覺羅文發,春圃
(佟佳)齊世武,佟僖齊世武
(包國羅特)成善,成麟,筠溪
(博爾濟吉特)庫魯固木札布,固嚕固木札布,庫魯固木扎布,庫魯固本扎布
(博爾濟吉特)德峯,博羅特德峰,德峰
(博爾濟吉特)明敘,明叙,明昌
(博爾濟吉特)連祥,博爾濟特連祥
(喜塔臘)堃岫,子岩,紫岩
(富察)明善,韞田
(富察)索爾遜,索爾孫
(布庫特)西拉巴雅爾,西喇巴雅爾
(愛新覺羅)寶文,宗室寶文
(愛新覺羅)常明,長明
(愛新覺羅)德培,宗室德培
(愛新覺羅)明善,宗室明善,紅帶子明善,覺羅明善
(愛新覺羅)明志,宗室明志
(愛新覺羅)溥儀,宣統,浩然,耀之
(愛新覺羅)溥金閏,雨樓
(愛新覺羅)玉福,宗室玉福
(愛新覺羅)玉英,宗室玉英
(愛新覺羅)璞良,宗室璞良
(愛新覺羅)英文,宗室英文
(愛新覺羅)載林,宗室載林
(愛新覺羅)鍾霖,季膏,宗室鍾霖,沛東
(札庫塔)書寧阿,扎庫塔書甯阿
(棟佳)陳秉直,司眞
(棟鄂)鄂爾多,敏恪
(漢根呢)明安泰,剛介
(瓜勒佳)色布徵阿,瓜爾佳色布徵阿,色普徵阿
(納喇)卓納,覺羅卓納
(納喇)折庫納,折庫訥
(舒穆魯)色普徵額,壯恪
(蘇完呢瓜爾佳)富銳,瓜爾佳富銳,蘇灣尼瓜爾佳富銳
(覺羅)四明,朗亭,朗停,松山
(覺羅)富興,覺羅富興
(覺羅)清泰,覺羅清泰
(覺羅)祥鼐,覺羅祥奈,覺羅祥鼐
(覺羅)英文,覺羅英文
(覺羅)麟祥,輝山
(費莫)志顏,馨山
(費莫)荊山,端簡
(達胡爾索多爾)西昌阿,胡尔索多尔西昌阿
(郭布勒)果勒敏色,勇恪
(鎖佳)西林泰,德奎
(靉巖覺羅)巢可托,寄齋,巢可託,素侯,綽克托,阿顏覺羅巢可托
(馬佳)席柱,石柱
㬊淵,亞夫,蓮塘
㳺允達,兼之
䣊成,冰壑,憲松
丁一烜,月客
丁三在,不識,善之,子居
丁上之,南他
丁上左,宜之,白丁,竹孫
丁世勲,欽吾
丁世忠,允執
丁世昌,少明,竹坡
丁世雄,少雲
