名称,城市
中华书局,北京
商务印书馆,北京
生活·读书·新知三联书店,北京
三联书店,北京
书目文献出版社,北京
国家图书馆出版社,北京
社会科学文献出版社,北京
中国社会科学出版社,北京
人民出版社,北京
北京大学出版社,北京
中国人民大学出版社,北京
中央民族大学出版社,北京
民族出版社,北京
文物出版社,北京
科学出版社,北京
高等教育出版社,北京
作家出版社,北京
新星出版社,北京
九州出版社,北京
中国纺织出版社,北京
中国华侨出版社,北京
中国档案出版社,北京
东方出版社,北京
华夏出版社,北京
学苑出版社,北京
群言出版社,北京
红旗出版社,北京
当代世界出版社,北京
光明日报出版社,北京
经济科学出版社,北京
中国政法大学出版社,北京
北京联合出版公司,北京
线装书局,北京
西苑出版社,北京
台海出版社,北京
金城出版社,北京
上海古籍出版社,上海
上海人民出版社,上海
上海书店出版社,上海
上海三联书店,上海
上海译文出版社,上海
上海文艺出版社,上海
上海辞书出版社,上海
上海社会科学院出版社,上海
华东师范大学出版社,上海
复旦大学出版社,上海
上海大学出版社,上海
学林出版社,上海
格致出版社,上海
中西书局,上海
汉语大词典出版社,上海
江苏古籍出版社,南京
凤凰出版社,南京
译林出版社,南京
南京大学出版社,南京
广陵书社,扬州
浙江大学出版社,杭州
杭州大学出版社,杭州
浙江古籍出版社,杭州
西泠印社出版社,杭州
鹭江出版社,厦门
福建人民出版社,福州
海峡文艺出版社,福州
广东人民出版社,广州
中山大学出版社,广州
花城出版社,广州
广西师范大学出版社,桂林
漓江出版社,桂林
岳麓书社,长沙
湖南人民出版社,长沙
湖南教育出版社,长沙
湖北人民出版社,武汉
武汉大学出版社,武汉
华中师范大学出版社,武汉
崇文书局,武汉
黄山书社,合肥
安徽教育出版社,合肥
山东人民出版社,济南
齐鲁书社,济南
山东教育出版社,济南
河南人民出版社,郑州
中州古籍出版社,郑州
大象出版社,郑州
河北人民出版社,石家庄
河北教育出版社,石家庄
山西人民出版社,太原
三晋出版社,太原
陕西人民出版社,西安
三秦出版社,西安
陕西师范大学出版社,西安
巴蜀书社,成都
四川人民出版社,成都
四川大学出版社,成都
西南师范大学出版社,重庆
重庆出版社,重庆
云南人民出版社,昆明
云南大学出版社,昆明
贵州人民出版社,贵阳
贵州民族出版社,贵阳
江西人民出版社,南昌
百花洲文艺出版社,南昌
辽宁人民出版社,沈阳
辽宁教育出版社,沈阳
吉林文史出版社,长春
黑龙江人民出版社,哈尔滨
天津人民出版社,天津
南开大学出版社,天津
内蒙古人民出版社,呼和浩特
兰州大学出版社,兰州
甘肃人民出版社,兰州
青海人民出版社,西宁
宁夏人民出版社,银川
新疆人民出版社,乌鲁木齐
西藏人民出版社,拉萨
海南出版社,海口
云南民族出版社,昆明
台湾商务印书馆,台北
台湾学生书局,台北
联经出版事业公司,台北
里仁书局,台北
五南图书出版股份有限公司,台北
远流出版事业股份有限公司,台北
正中书局,台北
文史哲出版社,台北
新文丰出版公司,台北
艺文印书馆,台北
中央文献出版社,北京
军事科学出版社,北京
党建读物出版社,北京
中共党史出版社,北京
当代中国出版社,北京
中国方正出版社,北京
法律出版社,北京
人民法院出版社,北京
中国青年出版社,北京
人民文学出版社,北京
人民教育出版社,北京
中信出版社,北京
清华大学出版社,北京
北京师范大学出版社,北京
首都师范大学出版社,北京
电子工业出版社,北京
机械工业出版社,北京
人民邮电出版社,北京
外文出版社,北京
世界知识出版社,北京
中国文史出版社,北京
中国藏学出版社,北京
宗教文化出版社,北京
中国书店,北京
荣宝斋出版社,北京
国家行政学院出版社,北京
华文出版社,北京
团结出版社,北京
群众出版社,北京
中国检察出版社,北京
中国法制出版社,北京
方志出版社,北京
学习出版社,北京
上海教育出版社,上海
上海书画出版社,上海
上海科学技术出版社,上海
同济大学出版社,上海
立信会计出版社,上海
上海外语教育出版社,上海
江苏人民出版社,南京
南京师范大学出版社,南京
东南大学出版社,南京
苏州大学出版社,苏州
山东画报出版社,济南
泰山出版社,济南
北岳文艺出版社,太原
山西古籍出版社,太原
湖南美术出版社,长沙
青岛出版社,青岛
香港中文大学出版社,香港
香港中文大学,香港
香港三联书店,香港
香港中华书局,香港
香港商务印书馆,香港
香港大学出版社,香港
香港城市大学出版社,香港
